(?i:流量|时间|应急|过期|Bandwidth|expire),🏳️‍🌈
(?i:香港|港|HK|Hong),🇭🇰
(?i:台湾|台|TW|Taiwan),🇹🇼
(?i:日本|东京|大阪|JP|Japan),🇯🇵
(?i:韩国|韩|首尔|KR|Korea),🇰🇷
(?i:新加坡|狮城|SG|Singapore),🇸🇬
(?i:美国|美|洛杉矶|硅谷|达拉斯|费利蒙|凤凰城|芝加哥|圣何塞|西雅图|弗里蒙特|纽约|哥伦布|US|USA|America),🇺🇸
(?i:英国|英|伦敦|UK|Britain|England),🇬🇧
(?i:法国|法|巴黎|FR|France),🇫🇷
(?i:德国|德|柏林|DE|Germany),🇩🇪
(?i:澳大利亚|澳洲|澳|悉尼|AU|Australia),🇦🇺
(?i:阿根廷|AR|Argentina),🇦🇷
(?i:奥地利|AT|Austria),🇦🇹
(?i:比利时|BE|Belgium),🇧🇪
(?i:巴西|BR|Brazil),🇧🇷
(?i:加拿大|蒙特利尔|温哥华|多伦多|CA|Canada),🇨🇦
(?i:瑞士|CH|Switzerland),🇨🇭
(?i:智利|CL|Chile),🇨🇱
(?i:哥伦比亚|CO|Colombia),🇨🇴
(?i:哥斯达黎加|CR|Costa Rica),🇨🇷
(?i:捷克|CZ|Czech),🇨🇿
(?i:丹麦|DK|Denmark),🇩🇰
(?i:爱沙尼亚|EE|Estonia),🇪🇪
(?i:埃及|EG|Egypt),🇪🇬
(?i:西班牙|马德里|ES|Spain),🇪🇸
(?i:芬兰|芬蘭|巴黎|FI|Finland),🇫🇮
(?i:希腊|希臘|GR|Greece),🇬🇷
(?i:印度|印|孟买|IN|India),🇮🇳
(?i:印度尼西亚|印尼|雅加达|ID|Indonesia),🇮🇩
(?i:爱尔兰|愛爾蘭|都柏林|IE|Ireland),🇮🇪
(?i:以色列|IL|Israel),🇮🇱
(?i:马恩岛|馬恩島|IM|Mann),🇮🇲
(?i:伊朗|IR|Iran),🇮🇷
(?i:冰岛|冰島|IS|Iceland),🇮🇸
(?i:意大利|意|米兰|IT|Italy),🇮🇹
(?i:肯尼亚|KE|Kenya),🇰🇪
(?i:吉尔吉斯斯坦|KG|Kyrgyzstan),🇰🇬
(?i:柬埔寨|KH|Cambodia),🇰🇭
(?i:哈萨克斯坦|哈薩克斯坦|KZ|Kazakhstan),🇰🇿
(?i:立陶宛|LT|Lithuania),🇱🇹
(?i:卢森堡|盧森堡|LU|Luxembourg),🇱🇺
(?i:拉脱维亚|拉脫維亞|LV|Latvia),🇱🇻
(?i:摩尔多瓦|MD|Moldova),🇲🇩
(?i:北马其顿|北馬其頓|MK|North Macedonia),🇲🇰
(?i:蒙古|MN|Mongolia),🇲🇳
(?i:墨西哥|MX|Mexico),🇲🇽
(?i:马来西亚|马来|大马|MY|Malaysia),🇲🇾
(?i:尼日利亚|NG|Nigeria),🇳🇬
(?i:荷兰|荷|尼德兰|阿姆斯特丹|NL|Netherlands),🇳🇱
(?i:挪威|NO|Norway),🇳🇴
(?i:尼泊尔|NP|Nepal),🇳🇵
(?i:新西兰|新西蘭|NZ|New Zealand),🇳🇿
(?i:巴拿马|PA|Panama),🇵🇦
(?i:秘鲁|秘魯|PE|Peru),🇵🇪
(?i:菲律宾|菲|马尼拉|PH|Philippines),🇵🇭
(?i:巴基斯坦|PK|Pakistan),🇵🇰
(?i:波兰|波蘭|Poland),🇵🇱
(?i:葡萄牙|Portugal),🇵🇹
(?i:罗马尼亚|羅馬尼亞|RO|Romania),🇷🇴
(?i:塞尔维亚|塞爾維亞|RS|Serbia),🇷🇸
(?i:俄罗斯|俄|伯力|莫斯科|圣彼得堡|西伯利亚|RU|Russia),🇷🇺
(?i:沙特|沙特阿拉伯|Saudi Arabia),🇸🇦
(?i:瑞典|SE|Sweden),🇸🇪
(?i:斯洛文尼亚|SI|Slovenia),🇸🇮
(?i:斯洛伐克|SK|Slovensko),🇸🇰
(?i:泰国|泰|曼谷|TH|Thailand),🇹🇭
(?i:突尼斯|TN|Tunisia),🇹🇳
(?i:土耳其|伊斯坦布尔|TR|Turkey),🇹🇷
(?i:乌克兰|烏克蘭|UA|Ukraine),🇺🇦
(?i:乌拉圭|UY|Uruguay),🇺🇾
(?i:越南|VN|Vietnam),🇻🇳
(?i:南非|ZA|South Africa),🇿🇦
(?i:欧洲|欧盟|欧|Europe),🇪🇺
(?i:亚洲|Asia),🌏
(?i:中东|Middle East),🌍
(?i:南美|South America),🌎
(?i:大洋洲|Oceania),🌎
(?i:LB|Lebanon|黎巴嫩),🇱🇧
(?i:CY|Cyprus|塞浦路斯),🇨🇾
(?i:缅甸|Myanmar),🇲🇲
(?i:尼日利亚|Nigeria),🇳🇬
(?i:阿联酋|迪拜|AE|United Arab Emirates),🇦🇪
(?i:阿尔巴尼亚|Albania),🇦🇱
(?i:亚美尼亚|Armenia),🇦🇲
(?i:安道尔|Andorra),🇦🇩
(?i:安哥拉|Angola),🇦🇴
(?i:阿塞拜疆|Azerbaijan),🇦🇿
(?i:波黑|波斯尼亚和黑塞哥维那|Bosnia & Herzegovina),🇧🇦
(?i:保加利亚|Bulgaria),🇧🇬
(?i:巴林|Bahrain),🇧🇭
(?i:布隆迪|Burundi),🇧🇮
(?i:贝宁|Benin),🇧🇯
(?i:玻利维亚|Bolivia),🇧🇴
(?i:文莱|Brunei),🇧🇳
(?i:百慕大|Bermuda),🇧🇲
(?i:不丹|Bhutan),🇧🇹
(?i:博茨瓦纳|Botswana),🇧🇼
(?i:白俄罗斯|Belarus),🇧🇾
(?i:伯利兹|Belize),🇧🇿
(?i:刚果|Congo),🇨🇩
(?i:中非共和国|Central African Republic),🇨🇫
(?i:刚果共和国|Republic of the Congo),🇨🇬
(?i:科特迪瓦|Ivory Coast),🇨🇮
(?i:库克群岛|Cook Islands),🇨🇰
(?i:喀麦隆|Cameroon),🇨🇲
(?i:古巴|Cuba),🇨🇺
(?i:佛得角|Cape Verde),🇨🇻
(?i:吉布提|Djibouti),🇩🇯
(?i:多米尼加|Dominican Republic),🇩🇴
(?i:阿尔及利亚|Algeria),🇩🇿
(?i:厄瓜多尔|Ecuador),🇪🇨
(?i:斐济|Fiji),🇫🇯
(?i:密克罗尼西亚联邦|Federated States of Micronesia),🇫🇲
(?i:加蓬|Gabon),🇬🇦
(?i:格林纳达|Grenada),🇬🇩
(?i:格鲁吉亚|Georgia),🇬🇪
(?i:加纳|Ghana),🇬🇭
(?i:直布罗陀|Gibraltar),🇬🇮
(?i:几内亚|Guinea),🇬🇳
(?i:赤道几内亚|Equatorial Guinea),🇬🇶
(?i:危地马拉|Guatemala),🇬🇹
(?i:关岛|Guam),🇬🇺
(?i:圭亚那|Guyana),🇬🇾
(?i:洪都拉斯|Honduras),🇭🇳
(?i:海地|Haiti),🇭🇹
(?i:约旦|Jordan),🇯🇴
(?i:科威特|Kuwait),🇰🇼
(?i:开曼群岛|Cayman Islands),🇰🇾
(?i:老挝|Laos),🇱🇦
(?i:黎巴嫩|Lebanon),🇱🇧
(?i:列支敦士登|Liechtenstein),🇱🇮
(?i:利比里亚|Liberia),🇱🇷
(?i:莱索托|Lesotho),🇱🇸
(?i:利比亚|Libya),🇱🇾
(?i:摩洛哥|Morocco),🇲🇦
(?i:摩纳哥|Monaco),🇲🇨
(?i:马达加斯加|Madagascar),🇲🇬
(?i:马绍尔群岛|Marshall Islands),🇲🇭
(?i:马里|Mali),🇲🇱
(?i:缅甸|Myanmar),🇲🇲
(?i:黑山|Montenegro),🇲🇪
(?i:马耳他|Malta),🇲🇹
(?i:毛里求斯|Mauritius),🇲🇺
(?i:马尔代夫|Maldives),🇲🇻
(?i:马拉维|Malawi),🇲🇼
(?i:莫桑比克|Mozambique),🇲🇿
(?i:纳米比亚|Namibia),🇳🇦
(?i:尼日尔|Niger),🇳🇪
(?i:阿曼|Oman),🇴🇲
(?i:巴布亚新几内亚|Papua New Guinea),🇵🇬
(?i:波多黎各|Puerto Rico),🇵🇷
(?i:卡塔尔|Qatar),🇶🇦
(?i:留尼汪|Réunion),🇷🇪
(?i:卢旺达|Rwanda),🇷🇼
(?i:所罗门群岛|Solomon Islands),🇸🇧
(?i:塞舌尔|Seychelles),🇸🇨
(?i:苏丹|Sudan),🇸🇩
(?i:圣马力诺|San Marino),🇸🇲
(?i:塞内加尔|Senegal),🇸🇳
(?i:索马里|Somalia),🇸🇴
(?i:苏里南|Suriname),🇸🇷
(?i:南苏丹|South Sudan),🇸🇸
(?i:圣多美和普林西比|São Tomé and Príncipe),🇸🇹
(?i:萨尔瓦多|El Salvador),🇸🇻
(?i:叙利亚|Syria),🇸🇾
(?i:斯威士兰|Swaziland),🇸🇿
(?i:乍得|Chad),🇹🇩
(?i:多哥|Togo),🇹🇬
(?i:塔吉克斯坦|Tajikistan),🇹🇯
(?i:东帝汶|East Timor),🇹🇱
(?i:土库曼斯坦|Turkmenistan),🇹🇲
(?i:特立尼达和多巴哥|Trinidad and Tobago),🇹🇹
(?i:坦桑尼亚|Tanzania),🇹🇿
(?i:乌干达|Uganda),🇺🇬
(?i:乌兹别克斯坦|Uzbekistan),🇺🇿
(?i:委内瑞拉|Venezuela),🇻🇪
(?i:英属维尔京群岛|British Virgin Islands),🇻🇬
(?i:美属维尔京群岛|U.S. Virgin Islands),🇻🇮
(?i:瓦努阿图|Vanuatu),🇻🇺
(?i:萨摩亚|Samoa),🇼🇸
(?i:安提瓜和巴布达|Antigua and Barbuda),🇦🇬
(?i:巴哈马|Bahamas),🇧🇸
(?i:巴巴多斯|Barbados),🇧🇧
(?i:圣基茨和尼维斯|Saint Kitts and Nevis),🇰🇳
(?i:圣卢西亚|Saint Lucia),🇱🇨
(?i:圣文森特和格林纳丁斯|Saint Vincent and the Grenadines),🇻🇨
(?i:多米尼克|Dominica),🇩🇲
(?i:帕劳|Palau),🇵🇼
(?i:瑙鲁|Nauru),🇳🇷
(?i:图瓦卢|Tuvalu),🇹🇻
(?i:基里巴斯|Kiribati),🇰🇮
(?i:马约特|Mayotte),🇾🇹
(?i:法属波利尼西亚|French Polynesia),🇵🇫
(?i:新喀里多尼亚|New Caledonia),🇳🇨
(?i:库拉索|Curaçao),🇨🇼
(?i:阿鲁巴|Aruba),🇦🇼
(?i:澳门|Macau|Macao),🇲🇴
(?i:西藏|Tibet),🏔️
(?i:新疆|Xinjiang),🏜️
(?i:内蒙古|Inner Mongolia),🌾
(?i:海南|Hainan),🏝️
(?i:深圳|Shenzhen),🏙️
(?i:广州|Guangzhou),🏙️
(?i:上海|Shanghai),🏙️
(?i:北京|Beijing),🏙️
(?i:成都|Chengdu),🏙️
(?i:武汉|Wuhan),🏙️
(?i:杭州|Hangzhou),🏙️
(?i:南京|Nanjing),🏙️
(?i:西安|Xi'an),🏯
(?i:移动|CMCC|China Mobile),🏃‍♂️
(?i:联通|CUCC|China Unicom),📶
(?i:电信|China Telecom|CTCC),📡
(?i:广电|China Broadnet),📺
(?i:教育网|CERNET),🎓
(?i:甲骨文|Oracle),🏛️
(?i:亚马逊|AWS),☁️
(?i:谷歌|Google|GCP),🔍
(?i:微软|Azure|Microsoft),🔵
(?i:阿里云|Alibaba Cloud),🟠
(?i:腾讯云|Tencent Cloud),🔶
(?i:华为云|Huawei Cloud),🟥
(?i:Vultr),🟪
(?i:Linode),🟩
(?i:DigitalOcean|DO),🌊
(?i:BandwagonHost|搬瓦工),🧱
(?i:DMIT),🟦
(?i:CN2),🛣️
(?i:GIA),🛣️
(?i:BGP),🔄
(?i:IPLC),🔁
(?i:IEPL),🔀
(?i:专线|DIA),🛤️
(?i:中转|Relay),🔄
(?i:隧道|Tunnel),🕳️
(?i:落地|Landing),🛬
